Location,Social Category,Primary Girls,Primary Boys,Primary Overall,Upper Primary Girls,Upper Primary Boys,Upper Primary Overall,Secondary Girls,Secondary Boys,Secondary Overall
Gujarat,General,0,0,0,0,0,0,9.48,15.25,12.83
Gujarat,SC,7.05,7.85,7.47,12.54,10.71,11.56,25.33,31.41,28.75
Gujarat,ST,3.13,4.57,3.88,9.39,9.92,9.67,24.57,30.38,27.68
Gujarat,OBC,4.19,4.31,4.25,14.03,8.53,11.07,27,30.22,28.92
Total,Overall,1.9,2.56,2.25,9.14,5.9,7.39,21.15,25.79,23.84
