Location,Social Category,Primary Girls,Primary Boys,Primary Overall,Upper Primary Girls,Upper Primary Boys,Upper Primary Overall,Secondary Girls,Secondary Boys,Secondary Overall
Gujarat,General,4.61,3.81,4.18,6.11,4.74,5.37,16.56,20.52,18.82
Gujarat,SC,0,0,0,1.83,0.32,1.04,19,25,22.35
Gujarat,ST,0.26,0.56,0.42,4.1,3.86,3.97,23.19,28.25,25.87
Gujarat,OBC,0,0,0,6.2,3.4,4.72,23.37,27.13,25.58
Total,Overall,1.14,0.92,1.02,5.52,3.67,4.54,20.91,25.11,23.31
