Location,Social Category,Primary Girls,Primary Boys,Primary Overall,Upper Primary Girls,Upper Primary Boys,Upper Primary Overall,Secondary Girls,Secondary Boys,Secondary Overall
Gujarat,General,1.21,1.65,1.45,3.54,2.37,2.9,13.26,19.1,16.63
Gujarat,SC,0,0,0,4.19,0,1.97,19.8,25.35,22.9
Gujarat,ST,2.32,2.35,2.34,8.27,6.81,7.51,23.53,29.27,26.56
Gujarat,OBC,0.35,0.42,0.38,9.33,3.49,6.21,24.91,29.64,27.71
Total,Overall,0.88,1.03,0.96,7.2,3.48,5.21,20.65,25.97,23.71
