Location,Social Category,Primary Girls,Primary Boys,Primary Overall,Upper Primary Girls,Upper Primary Boys,Upper Primary Overall,Secondary Girls,Secondary Boys,Secondary Overall
Gujarat,General,0,0,0,3.59,0.92,2.09,10.79,13.93,12.61
Gujarat,SC,0,0,0,6.69,2.48,4.44,20.24,25.78,23.4
Gujarat,ST,5.02,4.25,4.62,12.69,11.06,11.84,20.98,24.64,22.94
Gujarat,OBC,2.4,1.8,2.08,12.31,6.68,9.27,23.61,25.24,24.59
Total,Overall,2.08,1.31,1.67,9.83,5.57,7.51,18.97,21.77,20.61
